	Name	ISIN	Country	Currency	Exchange	Type of Security	Rating	Primary Listing	Industry Classification	Weighting
758	FONCIERE FINANCIERE PARTICIPATIONS	FR0000064784	Frankreich	EUR	Euronext Paris	Equity	-	CAC 40 Index	Financials	0.0003220721
759	AMBEA AB	SE0009663826	Schweden	SEK	-	Equity	-	-	Health Care	0.0003194371
760	GRUPO EMPRESARIAL ENCE SA	ES0130625512	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Materials	0.000318903
761	ORIGIN ENTERPRISES	IE00B1WV4493	Irland	EUR	Irish Stock Exchange	Equity	-	ISEQ Irish Overall Index	Consumer Staples	0.0003179808
762	HELICAL BAR	GB00B0FYMT95	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Real Estate	0.0003178606
763	CLOETTA AB	SE0002626861	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Consumer Staples	0.0003161387
764	TECNOINVESTIMENTI	IT0005037210	Italien	EUR	-	Equity	-	-	Industrials	0.0003161149
765	F-SECURE	FI0009801310	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Information Technology	0.000315956
766	HANSA MEDICAL	SE0002148817	Schweden	SEK	Stockholm Stock Exchange	Equity	-	OMX Stockholm 30 Index	Health Care	0.0003147313
767	SENIOR	GB0007958233	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Industrials	0.0003128698
768	ERGOMED	GB00BN7ZCY67	Vereinigtes Königreich	GBP	-	Equity	-	-	Health Care	0.000312368
769	ALM. BRAND	DK0015250344	Dänemark	DKK	Copenhagen Stock Exchange	Equity	-	OMX COPENHAGEN 20 Index	Financials	0.000311957
770	DANIELI & C. -OFF. MECCAN. APRNC	IT0000076486	Italien	EUR	-	Equity	-	-	Industrials	0.0003118891
771	DO & CO REST.& CATER.	AT0000818802	Österreich	EUR	Vienna Stock Exchange	Equity	-	Austrian Traded Index	Industrials	0.0003114872
772	IQE	GB0009619924	Vereinigtes Königreich	GBP	London Stock Exchange	Equity	-	FTSE 100 Index	Information Technology	0.0003113609
773	IG DESIGN GRP RG	GB0004526900	Vereinigtes Königreich	GBP	-	Equity	-	-	Consumer Discretionary	0.0003094056
774	WAREHOUSE REIT RG	GB00BD2NCM38	Vereinigtes Königreich	GBP	-	Equity	-	-	Real Estate	0.0003053848
775	FINNAIR	FI0009003230	Finnland	EUR	Helsinki Stock Exchange	Equity	-	OMX Helsinki Index	Industrials	0.0003039727
776	PEXIP HOLDING	NO0010840507	Norwegen	NOK	Oslo Stock Exchange	Equity	-	Oslo SE All-share Index	Information Technology	0.0003028664
777	SEMAPA SOC INVE E GESTAO	PTSEM0AM0004	Portugal	EUR	Euronext Lisbon	Equity	-	-	Materials	0.0003024826
778	AUTONEUM	CH0127480363	Schweiz	CHF	Scoach Switzerland	Equity	-	Swiss Market Index	Consumer Discretionary	0.0002998136
779	TALGO SA	ES0105065009	Spanien	EUR	Mercado Continuo Espana	Equity	-	IBEX 35 Index	Industrials	0.0002994587
780	HAMBG.HAFEN U. LOGISTIK (HHLA)	DE000A0S8488	Deutschland	EUR	XETRA	Equity	-	DAX Index	Industrials	0.0002980603
